"Thu: Jan 29","Nightshift After Hours","tech house, minimal","TBA (DTLA/Los Angeles)","11pm-5am","free w/rsvp b4 1 / $10-30","21+","Blind Tiger","https://shotgun.live/en/events/nightshift-afterhours-500","https://www.instagram.com/blindtiger.la/","46051.9583333333"
"Thu: Jan 29","Recollect X The Movement After Hours","tech house, minimal, uk garage","TBA (DTLA/Los Angeles)","11pm-5am","$11","21+","Love&Revenge Entertainement","https://ra.co/events/2339311","https://www.instagram.com/recollectafters/?hl=en","46051.9583333333"
"Fri: Jan 30","Seoul 2 Soul Sunset Sessions","kpop, hip-hop, reggaeton, EDM","Jungle Hollywood (Los Angeles)","5:45pm-9:45pm","$10","21+","Class Sassy Par Tease Productions","https://www.eventbrite.com/e/1978211496839","https://www.instagram.com/p/DRaAP16CXbh/","46052.7395833333"
"Fri: Jan 30","Jackzebra w/ Glasear","hip-hop","El Cid (Los Angeles)","6pm-10pm","$31.93","All ages","","https://dice.fm/event/v3okld-jackzebra-live-in-los-angeles-w-glasear-30th-jan-el-cid-los-angeles-tickets","","46052.75"
"Fri: Jan 30","Analogue Bubblebath: Aphex Twin Listening Party","ambient","Agora Records (Los Angeles)","7pm-12am","$17","21+","In Sheep's Clothing","https://dice.fm/event/g5ddy2-analogue-bubblebath-aphex-twin-listening-party-30th-jan-agora-records-los-angeles-tickets","","46052.7916666667"
"Fri: Jan 30","Helipad Society","house, dubstep, bass music","The Slipper Clutch (Los Angeles)","8pm","free","","","https://www.instagram.com/p/DTHuayLk-cC/","https://www.instagram.com/helipadsociety/","46052.8333333333"
"Fri: Jan 30","Inzo - Mirrorverse Tour","dubstep, bass music, future bass, trap","The Sound Del Mar (Playa del Mar)","8pm","$38","All ages","","https://www.ticketmaster.com/event/0A006332C04031A6","","46052.8333333333"
"Fri: Jan 30","Dreamsequence","house","2222 West 2Nd Street (Santa Ana)","8pm-4am","free b4 9pm/ $17","","","https://shotgun.live/en/events/dreamsequence","","46052.8333333333"
"Fri: Jan 30","Anton Khabbaz","afro house","Music Box (San Diego)","9pm","$20+","21+","","https://www.ticketweb.com/event/anton-khabbaz-music-box-tickets/13988024","","46052.875"
"Fri: Jan 30","Intricacy OC: Jerro","progressive house","The Circle OC (Huntington Beach)","9pm","$17+","21+","","https://intricacynights.ticketsauce.com/e/jerrooc/tickets","","46052.875"
"Fri: Jan 30","Rush To The Disco: Larry Dance Jr. + Jack Roy","house","EOS Lounge (Santa Barbara)","9pm","free","21+","","https://dice.fm/event/rynpvr-rush-to-the-disco-larry-dance-jr-jack-roy-30th-jan-eos-lounge-santa-barbara-tickets?dice_source=ee15ecdb&eventref=fb_oea","https://www.facebook.com/events/1190334116546509/","46052.875"
"Fri: Jan 30","Wonkywilla Galactic Circus Tour / with Montycler and Overeazy","dubstep, bass music","Roxy Theatre Hollywood (Los Angeles)","9pm","","18+","Goldenvoice","https://www.axs.com/events/1165477/wonkywilla-tickets","","46052.875"
"Fri: Jan 30","House Music Fridays: Mimi Raza, DJ Unique1, + Matthew Brian","house","The Air Conditioned Lounge (San Diego)","9pm-2am","$5","21+","Hmf","https://airconditionedlounge.com/events-calendar/house-music-fridays-2/","","46052.875"
"Fri: Jan 30","Lan Party: username, 4evr, Enable Secret, purityleech, Draik Lezbijan b2b Ava Blank, Sportress, Wizard, Icon Alias, dj gf","hardcore, trance, eurodance","The Monty Bar (Los Angeles)","9pm-2am","$17.15","21+","","https://ra.co/events/2345143","https://www.instagram.com/l4n.party/","46052.875"
"Fri: Jan 30","Scenario: Tah, Bae Bae, Colloboh","beats, dubstep, bass music, breaks, drum and bass, uk garage","The Love Song (Los Angeles)","9pm-2am","free","21+","","https://www.eventbrite.com/e/scenario-tah-bae-bae-colloboh-tickets-1981006551924","","46052.875"
"Fri: Jan 30","Frequence: The Ritual (Anane & Louie Vega, Terry Hunter, Shaun Ross)","house","Catch One (Los Angeles)","9pm-3am","$17.15-40","21+","Stardust, Imagine Luv","https://ra.co/events/2322519","https://www.fusicology.com/events/imagine-luv-presents-frequence-the-ritual-anane-louie-vega-terry-hunter-shaun-ross-la-socal-catch-one/","46052.875"
"Fri: Jan 30","Take it Outside with Alinka, LAALLS, Heidi Lawden, Masha Mar","house","TBA (Los Angeles)","9pm-3am","$10 b4 10 / $22-33","21+","","https://ra.co/events/2330323","","46052.875"
"Fri: Jan 30","Electric Ave ","house, tech house, EDM","Los Globos (Los Angeles)","10pm","","21+","","https://www.facebook.com/events/2030711327725049/","","46052.9166666667"
"Fri: Jan 30","Imanbek","EDM, slap house","Time Nightclub (Costa Mesa)","10pm","$15+","21+","","https://www.ticketweb.com/event/imanbek-time-nightclub-tickets/14055704","","46052.9166666667"
"Fri: Jan 30","Mutate: Kuko + Cltx + Shoki287","techno","Exchange (Los Angeles)","10pm","$25 pre","21+","Mutate Experience","https://www.ticketweb.com/event/kuko-cltx-shoki-287-exchange-la-tickets/14608063?pl=ExchangeLA","https://www.facebook.com/events/1305917308212322/","46052.9166666667"
"Fri: Jan 30","Mary Droppinz","uk garage, house, electro, bass music","Bloom Nightclub (San Diego)","10pm-1:30am","$17 pre","21+","","https://www.tixr.com/groups/bloomdtsd/events/mary-droppinz-166334","","46052.9166666667"
"Fri: Jan 30","Hostile: Vastive","dubstep","The Viper Room (West Hollywood/Los Angeles)","10pm-1:45am","$24","21+","","https://posh.vip/e/hostile-vastive","","46052.9166666667"
"Fri: Jan 30","Pablo Fierro & Marco Peruzzi","house, tech house","Members Restaurant & Club (Los Angeles)","10pm-2:22am","$44.44-88.88","21+","","https://shotgun.live/en/events/members-presents-pablo-fierro-marco-peruzzi","","46052.9166666667"
"Fri: Jan 30","Discip","house","Sound Nightclub (Los Angeles)","10pm-2am","$24.93","21+","","https://dice.fm/event/bbnlbx-discip-30th-jan-sound-nightclub-los-angeles-tickets","","46052.9166666667"
"Fri: Jan 30","Electric Ave.","tech house, hard techno, top 40, pop EDM","Los Globos (Los Angeles)","10pm-2am","$15-30","","Vudeux Records","https://eventsta.com/event/electricave?promo=ELECTRIC-DIRTYTESLA","https://www.facebook.com/events/4201658046759366/","46052.9166666667"
"Fri: Jan 30","Muzique Fridays","disco, house, nu-disco","Kiss Kiss Bang Bang (Los Angeles)","10pm-2am","free w/rsvp","21+","","https://www.eventbrite.com/e/muzique-fridays-kiss-kiss-bang-bang-w-special-guest-djs-tickets-1980068851236","","46052.9166666667"
"Fri: Jan 30","Nandu b2b Nico Morano","tech house, progressive house","The Spotlight (Los Angeles)","10pm-2am","$22+","21+","","https://shotgun.live/en/events/nandub2bnicom","","46052.9166666667"
"Fri: Jan 30","Night Moves Feat. Moopie","tech house, minimal, techno","Homage Brewing (Los Angeles)","10pm-2am","$10","21+","","https://ra.co/events/2330902","","46052.9166666667"
"Fri: Jan 30","Disco Dom","disco","Reframe Studios Indoors (Los Angeles)","10pm-3am","$84.46-135.96","21+","Framework","https://dice.fm/event/yogxe2-framework-presents-disco-dom-30th-jan-reframe-studios-indoors-los-angeles-tickets","","46052.9166666667"
"Fri: Jan 30","Trans*Cendent: French For Drugs, hard bop nymph, Kitty Logic B2B yNOTi, VAP1D","trance","TBA (DTLA/Los Angeles)","10pm-3am","$11.45-28.55","18+","","https://ra.co/events/2343331","https://instagram.com/transcendent_la","46052.9166666667"
"Fri: Jan 30","Yetep 360","melodic dubstep, future bass, EDM","Academy Nightclub (Los Angeles)","10pm-3am","$15+","21+","","https://www.tixr.com/groups/academy/events/yetep-360-169553","","46052.9166666667"
"Fri: Jan 30","Deli Haus 33 Label Launch Party","house","TBA (DTLA/Los Angeles)","10pm-4am","$11.20-35","21+","Melt Collective","https://ra.co/events/2345246","","46052.9166666667"
"Fri: Jan 30","Undr X Hyperpop","hyperpop, electro house, indie sleaze","TBA (Elysian Park)","11pm-3am","$10","18+","UNDR","https://undrchurch.com/","","46052.9583333333"
"Fri: Jan 30","Chaos X Inland Groove: Ben Techy","schranz, hard techno","TBA (Inland Empire)","11pm-4am","$13-25","18+","","https://posh.vip/e/chaos-x-inland-groove-ben-techy?t=ig","","46052.9583333333"
"Fri: Jan 30","LA Fetish Weekend Pre-party: Xris- Smack, Everheaven","goth, industrial, witch house, darkwave, dark electro, post-punk, EBM","Drachaus (Los Angeles)","11pm-5am","$34+ / $40","21+","Nachturnal Events","https://www.eventbrite.com/e/nachturnal-events-presents-la-fetish-weekend-pre-party-tickets-1979005638137","https://www.instagram.com/nachturnal_la/","46052.9583333333"
"Fri: Jan 30","Nightshift After Hours","tech house, minimal","TBA (DTLA/Los Angeles)","11pm-5am","free w/rsvp b4 1 / $10-30","21+","Blind Tiger","https://shotgun.live/en/events/nightshift-afterhours-501","https://www.instagram.com/blindtiger.la/","46052.9583333333"
"Fri: Jan 30","Smd Two Year Anniversary - Miss Kittin & Associanu","house","TBA (Los Angeles)","11pm-5am","$22.85-45.70","","","https://ra.co/events/2332930","","46052.9583333333"
"Fri: Jan 30","Sneijder X Alt1: Rave Revolution & Sequence Six","trance, tech trance","TBA (Los Angeles)","11pm-5am","$24-35","21+","6AM Group, Synthetik Minds, Work","https://shotgun.live/en/events/work-presents-sneijder-x-alt-1-rave-revolution-5-hr-set-sequence-six","","46052.9583333333"
"Fri: Jan 30","Blurredmovement, Common Poetry, & Ramon","hard techno, hardcore","TBA (Los Angeles)","11pm-6am","$21-35","","","https://posh.vip/e/sxtcy-x-los-perros-presents-blurred-movement-us-debut-common-poetry-ramn-us-debut","","46052.9583333333"
