"Fri: Jan 30","Ezequiel Arias","progressive house","Bacara (Miami)","10pm-5am","$15 b4 12 / $25","21+","Pitch Park Events","https://link.dice.fm/Ezequiel/Bacara/Santelises","https://www.instagram.com/pitchparkevents/","46052.9166666667"
"Fri: Jan 30","Franca & Mimi Love","progressive house, tech house, deep house","Do Not Sit On The Furniture (Miami Beach)","10pm-5am","$24+","21+","","https://link.dice.fm/Ac7c895733fc","","46052.9166666667"
"Fri: Jan 30","Kloud","hard techno","Domicile (Miami)","10pm-5am","$22.21-30","21+","","https://dice.fm/event/rynymy-kloud-returns-to-domicile-30th-jan-domicile-miami-miami-tickets","","46052.9166666667"
"Fri: Jan 30","Odd Mob, Murphy's Law & Slamm","house, progressive house","Club Space (Miami)","11pm-2pm","$70","21+","","https://dice.fm/event/ryabqv-odd-mob-murphys-law-slamm-30th-jan-club-space-miami-miami-tickets","","46052.9583333333"
"Fri: Jan 30","Nicole Gallamini's Eleve","tech house, minimal","Floyd (Miami)","11pm-5am","","21+","","https://link.dice.fm/elevefloyd","","46052.9583333333"
"Sat: Jan 31","Austin Millz","house, EDM","Palm Tree Club (Miami)","3pm-10pm","","21+","","https://posh.vip/e/austin-millz-presented-by-palm-tree-club-miami-1","","46053.625"
"Sat: Jan 31","Chus+Ceballos The Reunion Open-Air Experience","tech house","94th Aero Squadron (Miami)","7pm","$48.49-181.85","21+","Humans Alike","https://link.dice.fm/ccjan31fbevent","https://www.facebook.com/events/1351760943364533/","46053.7916666667"
"Sat: Jan 31","Les Bisous","funky house, afro house","Zeyzey (Miami)","8pm-2am","$35-75","18+","","https://shotgun.live/en/events/zeyzey-presents-les-bisous","","46053.8333333333"
"Sat: Jan 31","Dario Dee, Bemet, Curva Peligrosa, D1","house","Mad Radio (Miami)","9pm-3am","$20","21+","Mad Radio Miami","https://shotgun.live/en/events/dario-dee-bemet-curva-peligrosa-d-1","","46053.875"
"Sat: Jan 31","Electric Luau","","Munchie's Pizza Club (Fort Lauderdale)","10pm","","18+","","https://www.eventbrite.com/e/131-electric-luau-munchies-fort-lauderdale-tickets-1977012502615","","46053.9166666667"
"Sat: Jan 31","Pheromone Ft. Pagano","","Eagle (Wilton Manors)","10pm-3am","$20.15-23.70","","","https://dice.fm/event/bbxqvo-pheromone-ft-pagano-31st-jan-eagle-wilton-manors-wilton-manors-tickets","","46053.9166666667"
"Sat: Jan 31","Bingo Players","electro house, pop EDM","Daer Nightclub (Hollywood)","10pm-4am","$30","21+","","https://www.tixr.com/groups/daernightclubsouthflorida/events/bingo-players-daer-nightclub-167427","https://www.facebook.com/events/1375733363774582/","46053.9166666667"
"Sat: Jan 31","Eli Escobar All Night Long","house, disco","Jolene Downtown (Miami)","10pm-4am","","21+","","https://link.dice.fm/X926168db6e2","","46053.9166666667"
"Sat: Jan 31","Stas","","The Boombox (Miami)","10pm-4am","$17 pre","18+","","https://shotgun.live/en/events/january-31st","","46053.9166666667"
"Sat: Jan 31","Qwartz, Kate Ozz","house","Do Not Sit On The Furniture (Miami Beach)","10pm-5am","$24","21+","","https://link.dice.fm/va19d268230e","","46053.9166666667"
